categorie_cavalier,type_osm,nom_lieu,latitude,longitude,code_postal
Vice - Bar,bar,Brasserie du Square,45.7688367,4.8526408,69006
Vice - Bar,bar,Les Canailles De Raphaël,45.7705381,4.8520281,69006
Vice - Bar,bar,Barrio Club,45.7667369,4.8598151,69006
Vice - Bar,bar,Le Florian,45.7632513,4.8285022,69005
Vice - Bar,bar,POTE,45.7486732,4.8399915,69007
Vice - Bar,bar,Kargo Kulte,45.7529735,4.8462387,69007
Vice - Bar,bar,Le Bertone,45.77769,4.83425,69004
Vice - Bar,bar,Le Bouillon Paradis,45.7502193,4.8432149,69007
Vice - Bar,bar,La Grooverie,45.769738,4.83053,69001
Vice - Bar,bar,Yka,45.7684022,4.8584833,69006
Vice - Bar,bar,Le Troquet des Sens,45.7525027,4.8316449,69002
Vice - Bar,bar,Quartier,45.769708,4.831624,69001
Vice - Bar,bar,Le Bavard,45.7645393,4.828918,69005
Vice - Bar,bar,Féroce,45.7530681,4.8403037,69007
Vice - Bar,bar,Black Forest Society,45.7667943,4.8375558,69001
Vice - Bar,bar,Les Arpenteurs,45.7665813,4.8318689,69001
Vice - Bar,bar,BizTooFly Bar,45.7691816,4.8298426,69001
Vice - Bar,bar,L'envie,45.747809,4.8213074,69002
Vice - Bar,bar,Betty’s Bar,45.7598043,4.8261387,69005
Vice - Bar,bar,les Sept Marches,45.7738024,4.8230075,69004
Vice - Bar,bar,La Torpille,45.7735842,4.8225114,69004
Vice - Bar,bar,Le Churchill,45.7789318,4.8408416,69004
Vice - Bar,bar,Apérousse,45.7755973,4.8351311,69004
Vice - Bar,bar,Repère(S),45.7711898,4.8341532,69001
Vice - Bar,bar,Siam Bistro,45.7560962,4.8575316,69003
Vice - Bar,bar,La Feria (Lyon),45.7635317,4.8289054,69005
Vice - Bar,bar,L'Absinthe,45.7702436,4.8264574,69001
Vice - Bar,bar,La Serre,45.7695385,4.829646,69001
Vice - Bar,bar,La Patrie,45.7633845,4.8447873,69003
Vice - Bar,bar,Jazz Hot Club de Lyon,45.7656594,4.8319642,69001
Vice - Bar,bar,Le Azevedo,45.7240506,4.8837084,69008
Vice - Bar,bar,Turbine,45.750053,4.8442192,69007
Vice - Bar,bar,Look Bar,45.7622831,4.8285561,69005
Vice - Bar,bar,Meltdown Lyon,45.7710272,4.8350951,69001
Vice - Bar,bar,Yakapiocher,45.769773,4.8256499,69001
Vice - Bar,bar,Chenavard,45.7655863,4.8327592,69001
Vice - Bar,bar,Louis Bar,45.7734887,4.8090988,69009
Vice - Bar,bar,Le Passage,45.7659506,4.833876,69001
Vice - Bar,bar,Casa Nobile Gerland,45.7299434,4.8330373,69007
Vice - Bar,bar,Au Janis,45.750978,4.8425298,69007
Vice - Bar,bar,L'Ange Di Vin,45.7613189,4.832046,69002
Vice - Bar,bar,Kaffee Berlin,45.7536464,4.8385663,69007
Vice - Bar,bar,Le Drink,45.7503386,4.8866761,69003
Vice - Bar,bar,Auprès de mon arbre,45.7703491,4.8317138,69001
Vice - Bar,bar,Platypus Café Brewpub,45.7463042,4.82364,69002
Vice - Bar,bar,Le Fantôme de l'Opéra,45.7709807,4.8373371,69001
Vice - Bar,bar,L’Artchimiste,45.7682605,4.8563643,69006
Vice - Bar,bar,Les Barjaqueurs,45.7704012,4.836705,69001
Vice - Bar,bar,Le bistro Nicéphore,45.7567937,4.8161456,69005
Vice - Bar,bar,Basement,45.7508907,4.8421862,69007
Vice - Bar,bar,La Maison M,45.7685124,4.8300084,69001
Vice - Bar,bar,Le BistrO d'à cÔté,45.7709749,4.8345855,69001
Vice - Bar,bar,Le Shalala,45.7693037,4.8320818,69001
Vice - Bar,bar,La Station,45.7549728,4.875252,69003
Vice - Bar,bar,Café Lyonnais,45.750057,4.8299973,69002
Vice - Bar,bar,Bar du Tramway,45.7540424,4.8853953,69003
Vice - Bar,bar,Barabaar,45.7696185,4.8568353,69006
Vice - Bar,bar,Le Bar Bu,45.7654445,4.8289244,69005
Vice - Bar,bar,L’Alternateur,45.7570458,4.8511828,69003
Vice - Bar,bar,Tic & Tac Bar,45.747567,4.838654,69007
Vice - Bar,bar,Groom,45.7706062,4.8370066,69001
Vice - Bar,bar,L'Amicale,45.7521649,4.8441559,69007
Vice - Bar,bar,Cabana Café,45.7697199,4.8289488,69001
Vice - Bar,bar,PEPS public House,45.7544347,4.8395915,69007
Vice - Bar,bar,Kino,45.7450431,4.8719371,69008
Vice - Bar,bar,Justin,45.7581758,4.8360855,69002
Vice - Bar,bar,Darts club des gones,45.7645674,4.8273931,69005
Vice - Bar,bar,Le Bachut,45.7369791,4.868997,69008
Vice - Bar,bar,City Bar,45.7631242,4.8522504,69003
Vice - Bar,bar,Le Molière,45.7666814,4.8425326,69006
Vice - Bar,bar,Le Speaker,45.7704867,4.8371669,69001
Vice - Bar,bar,Sudaka,45.7686796,4.835799,69001
Vice - Bar,bar,L’Edgar Quinet,45.7658946,4.8442707,69006
Vice - Bar,bar,Le Queen Mary,45.7695834,4.8425839,69006
Vice - Bar,bar,Deuxième Verre,45.7694129,4.8355592,69001
Vice - Bar,bar,Le Coup de Pelle,45.7695,4.8368352,69001
