categorie_cavalier,type_osm,nom_lieu,latitude,longitude,code_postal
Gentrification - Fleuriste,florist,Lotus Fleurs,45.7695618,4.8357535,69001.0
Gentrification - Fleuriste,florist,Indécence,45.7635038,4.8473183,69003.0
Gentrification - Fleuriste,florist,Inconnu,45.7631825,4.8517858,69003.0
Gentrification - Fleuriste,florist,Atelier Lavarenne,45.7645601,4.8445432,69006.0
Gentrification - Fleuriste,florist,La Cour des Fleurs,45.7529895,4.8405082,69007.0
Gentrification - Fleuriste,florist,L'Atelier Vert,45.75404,4.8299145,69002.0
Gentrification - Fleuriste,florist,Stefanie Pastor,45.7526898,4.8285751,69002.0
Gentrification - Fleuriste,florist,Un Brin de Folie,45.767643,4.8317196,69001.0
Gentrification - Fleuriste,florist,Le Jardin de Nila,45.7351501,4.8533704,69008.0
Gentrification - Fleuriste,florist,Floramorphose,45.7746034,4.8061066,69009.0
Gentrification - Fleuriste,florist,Blandine Vallé fleuriste,45.7543979,4.8263594,69002.0
Gentrification - Fleuriste,florist,Le Jardin des Fleurs,45.7284615,4.8655651,69008.0
Gentrification - Fleuriste,florist,C. Perraud Fleurs,45.7448869,4.8675087,69008.0
Gentrification - Fleuriste,florist,Dulac Fleurs,45.7557346,4.8423028,69003.0
Gentrification - Fleuriste,florist,Interflora,45.7529498,4.8526648,69003.0
Gentrification - Fleuriste,florist,Bohème,45.765889,4.8313644,69001.0
Gentrification - Fleuriste,florist,Maison Celestin,45.7697035,4.8532652,69006.0
Gentrification - Fleuriste,florist,Les Fleurs de Marie,45.7661468,4.8442172,69006.0
Gentrification - Fleuriste,florist,Herbacé,45.7469285,4.8247401,69002.0
Gentrification - Fleuriste,florist,Mademoiselle,45.7459528,4.8233333,69002.0
Gentrification - Fleuriste,florist,Parenthèse florale,45.7485157,4.8381007,69007.0
Gentrification - Fleuriste,florist,Prequ'île Fleurs,45.7646974,4.8341362,69002.0
Gentrification - Fleuriste,florist,Maison Célestin,45.7456414,4.8640429,69008.0
Gentrification - Fleuriste,florist,Atelier Black Baccara,45.7537777,4.8879526,69003.0
Gentrification - Fleuriste,florist,Les Imparfaits,45.7529345,4.8319542,69002.0
Gentrification - Fleuriste,florist,Studio des Saisons,45.7680566,4.8446648,69006.0
Gentrification - Fleuriste,florist,Rhizomes,45.7794251,4.8327271,69004.0
Gentrification - Fleuriste,florist,Flora Moda,45.7568475,4.816043,69005.0
Gentrification - Fleuriste,florist,Un jardin à Lyon,45.7358459,4.8360793,69007.0
Gentrification - Fleuriste,florist,Atelier 3 Couleurs Vert,45.7667587,4.8450578,69006.0
Gentrification - Fleuriste,florist,Virginie P,45.7736373,4.8082358,69009.0
